Type	Part Number	Brand	Model	Rank	Score	Samples	URL	Name	Codename	Cores	Socket	Process	Clock	Multi	Cache L1/L2/L3	TDP	Released	Price	
CPU		Intel	Core2 T5500	894	11.3	540	http://cpu.userbenchmark.com/SpeedTest/2561/IntelR-CoreTM2-CPU---------T5500----166GHz												
CPU		Intel	Core2 Duo U9400	895	11.3	222	http://cpu.userbenchmark.com/SpeedTest/12007/IntelR-CoreTM2-Duo-CPU-----U9400----140GHz												
CPU		Intel	Celeron 900	896	11.2	751	http://cpu.userbenchmark.com/SpeedTest/4381/IntelR-CeleronR-CPU----------900----220GHz	Celeron G3900	Skylake	2 	Intel Socket 1151	14 nm	2800&nbsp;MHz	28.0x	64K / 256K / 4096K	51W	Sep 2015	2090	
CPU		Intel	Pentium 4 3.06GHz	897	11.2	291	http://cpu.userbenchmark.com/SpeedTest/614/--------------IntelR-PentiumR-4-CPU-306GHz												
CPU		AMD	Athlon Neo X2 Dual Core L335	898	11.2	72	http://cpu.userbenchmark.com/SpeedTest/4043/AMD-Athlontm-Neo-X2-Dual-Core-Processor-L335												
CPU		Intel	2140	899	11.2	356	http://cpu.userbenchmark.com/SpeedTest/6453/Genuine-IntelR-CPU------------2140----160GHz	Pentium Dual-Core E2140	Allendale	2 	Intel Socket 775	65 nm	1600&nbsp;MHz	8.0x	64K / 1024K / 0K	65W	Jun 2007	680	
CPU		Intel	Core2 Duo T5450	900	11.1	379	http://cpu.userbenchmark.com/SpeedTest/5075/IntelR-CoreTM2-Duo-CPU-----T5450----166GHz												
CPU		Intel	Celeron N3050	901	11	2724	http://cpu.userbenchmark.com/SpeedTest/31154/IntelR-CeleronR-CPU--N3050----160GHz											1898	
CPU		Intel	U7300	902	10.9	500	http://cpu.userbenchmark.com/SpeedTest/4246/Genuine-IntelR-CPU-----------U7300----130GHz												
CPU		Intel	Pentium Dual E2140	903	10.9	619	http://cpu.userbenchmark.com/SpeedTest/4944/IntelR-PentiumR-Dual--CPU--E2140----160GHz	Pentium Dual-Core E2140	Allendale	2 	Intel Socket 775	65 nm	1600&nbsp;MHz	8.0x	64K / 1024K / 0K	65W	Jun 2007		
CPU		Intel	Core2 T5200	904	10.8	103	http://cpu.userbenchmark.com/SpeedTest/11616/IntelR-CoreTM2-CPU---------T5200----160GHz												
CPU		Intel	Core Duo T2350	905	10.7	74	http://cpu.userbenchmark.com/SpeedTest/3830/IntelR-CoreTM-Duo-CPU------T2350----186GHz												
CPU		Intel	Core2 Duo L7500	906	10.7	80	http://cpu.userbenchmark.com/SpeedTest/6265/IntelR-CoreTM2-Duo-CPU-----L7500----160GHz												
CPU		Intel	Celeron N2815	907	10.7	226	http://cpu.userbenchmark.com/SpeedTest/9736/IntelR-CeleronR-CPU--N2815----186GHz												
CPU		Intel	Pentium 4 3.20GHz	908	10.7	1137	http://cpu.userbenchmark.com/SpeedTest/7095/--------------IntelR-PentiumR-4-CPU-320GHz												
CPU		Intel	T2400	909	10.7	260	http://cpu.userbenchmark.com/SpeedTest/6584/Genuine-IntelR-CPU-----------T2400----183GHz	Core Duo T2400	Yonah	2 	Intel Socket 479	65 nm	1826&nbsp;MHz	11.0x	64K / 2048K / 0K	31W	Jan 2006	11488	
CPU		Intel	Pentium Dual T2330	910	10.7	256	http://cpu.userbenchmark.com/SpeedTest/6733/IntelR-PentiumR-Dual--CPU--T2330----160GHz												
CPU		Intel	Pentium 4 2.60GHz	911	10.6	45	http://cpu.userbenchmark.com/SpeedTest/5254/--------------IntelR-PentiumR-4-CPU-260GHz												
CPU		AMD	E-350D APU	912	10.5	74	http://cpu.userbenchmark.com/SpeedTest/6589/AMD-E-350D-APU-with-Radeontm-HD-Graphics											1650	
CPU		AMD	Athlon 64 3200+	913	10.5	372	http://cpu.userbenchmark.com/SpeedTest/7063/AMD-Athlontm-64-Processor-3200-	Athlon 64 3200+	Lima	1 	AMD Socket AM2	65 nm	2000&nbsp;MHz	10.0x	128K / 512K / 0K	45W	Feb 2007		
